,num_variables,activation_function,absorption_criterion,ascent_stop_criterion,stopping_criterion_type,step_type,max_iterations,direction_type,initial_ascent_type,gamma,theta,f_value,binary,t_hmip,t_cplex,f_cplex,t_cplex_relax,f_cplex_relax
63,5000,pwl,,0.01,gradient,classic,500,classic,binary_neutral_ascent,0.9,0.01,-39513.544446109154,226.71780530577266,11.384834702941589,58.23312137799803,-41643.17585532433,65.31829076004215,-41646.892581093445
64,5000,pwl,,0.01,gradient,classic,500,classic,binary_neutral_ascent,0.9,0.01,-84423.26500063513,216.23482549990135,11.659132758970372,58.53467802610248,-86767.2945065309,64.83527723199222,-86769.254972103
65,5000,pwl,,0.01,gradient,classic,500,classic,binary_neutral_ascent,0.9,0.01,-126141.89710740742,189.61014098379053,11.761575410026126,59.69166295498144,-128720.24268400006,64.6515877150232,-128722.60671439677
66,5000,pwl,,0.01,gradient,classic,500,classic,binary_neutral_ascent,0.9,0.01,-71910.78924165768,224.30690940983,11.869926761020906,57.76305574097205,-74162.70349040207,64.43407177610788,-74165.40638781345
67,5000,pwl,,0.01,gradient,classic,500,classic,binary_neutral_ascent,0.9,0.01,-18009.26090842521,212.76280226081647,11.18430217099376,58.95018551603425,-20347.95659778578,64.69586809305474,-20348.481323643475
68,5000,pwl,,0.01,gradient,classic,500,classic,binary_neutral_ascent,0.9,0.01,570.1275692954267,110.46050932071043,10.347054602927528,59.31098212499637,-1644.6971444901521,64.45712890499271,-1644.7538058452799
69,5000,pwl,,0.01,gradient,classic,500,classic,binary_neutral_ascent,0.9,0.01,-46124.179051819505,218.05156779916388,11.655776498955674,58.133413561969064,-48201.42073435357,64.41384316107724,-48204.44416827965
70,10000,pwl,,0.01,gradient,classic,500,classic,binary_neutral_ascent,0.9,0.01,-582428.8058674982,224.48119845581772,28.573392219026573,429.72326364403125,-588906.7347492224,422.5697042309912,-588907.5634519493
71,10000,pwl,,0.01,gradient,classic,500,classic,binary_neutral_ascent,0.9,0.01,-203336.268758771,428.76122301358976,27.94226099003572,419.342223135056,-209792.48894044093,419.97206243802793,-209798.1317860186
72,10000,pwl,,0.01,gradient,classic,500,classic,binary_neutral_ascent,0.9,0.01,-123473.42630157118,448.1087453805708,27.385255936998874,417.6190289449878,-129604.60731088687,432.687488088035,-129611.90354275165
73,10000,pwl,,0.01,gradient,classic,500,classic,binary_neutral_ascent,0.9,0.01,-100747.75983367057,411.30207053081665,27.084640022017993,422.6493629280012,-106341.38595415065,437.3639198100427,-106347.30775534283
74,10000,pwl,,0.01,gradient,classic,500,classic,binary_neutral_ascent,0.9,0.01,-8937.44643165094,329.2916352688402,25.80083088693209,431.44798325689044,-16288.403997628833,434.6137860950548,-16288.545471607425
75,10000,pwl,,0.01,gradient,classic,500,classic,binary_neutral_ascent,0.9,0.01,-33069.7712005694,407.8793558181236,26.45212597004138,426.74892871803604,-40445.18574602859,437.1170334860217,-40445.26124244183
76,10000,pwl,,0.01,gradient,classic,500,classic,binary_neutral_ascent,0.9,0.01,-45199.43688578144,410.2028727969961,27.28735478501767,417.9720556490356,-51983.68468277536,432.56613318808377,-51988.4851450955
77,10000,pwl,,0.01,gradient,classic,500,classic,binary_neutral_ascent,0.9,0.01,-16190.778873257896,355.4047470056564,26.10835263004992,425.15034318796825,-23522.059705398435,433.9211932000471,-23524.147579575423
78,10000,pwl,,0.01,gradient,classic,500,classic,binary_neutral_ascent,0.9,0.01,-136933.36949415103,432.1865904109043,27.491329067968763,413.15584324498195,-142805.29811973884,430.90938436810393,-142809.23293103202
79,10000,pwl,,0.01,gradient,classic,500,classic,binary_neutral_ascent,0.9,0.01,-64128.94919433428,431.56723348745976,26.90433706296608,419.98465567606036,-70636.43885502857,432.58759110595565,-70640.3576876552
80,2,tanh,,0.01,gradient,classic,500,classic,binary_neutral_ascent,0.9,0.01,1.2027768890575858,0.012309151243074247,0.045314279035665095,0.03034807904623449,0.0,0.020941082970239222,0.0
81,2,tanh,,0.01,gradient,classic,500,classic,binary_neutral_ascent,0.9,0.01,-1.2552967423773278,0.038229152192313744,0.04355704609770328,0.02419882093090564,-1.268299828649331,0.03232934500556439,-1.268299828649331
82,2,tanh,,0.01,gradient,classic,500,classic,binary_neutral_ascent,0.9,0.01,-0.7920313211392138,0.004610439586852355,0.042431518086232245,0.015322553925216198,-0.7936418308078119,0.04150349798146635,-0.7936418242777155
83,2,tanh,,0.01,gradient,classic,500,classic,binary_neutral_ascent,0.9,0.01,-0.026112022860414946,0.19771974709806378,0.053786332020536065,0.015195111045613885,-0.026339777831946503,0.02937196905259043,-0.026339777831946503
84,2,tanh,,0.01,gradient,classic,500,classic,binary_neutral_ascent,0.9,0.01,-0.008492004777263362,0.011965596048563355,0.054105025017634034,0.015010182978585362,-0.6230215859094734,0.027755098999477923,-0.6230215859094734
85,2,tanh,,0.01,gradient,classic,500,classic,binary_neutral_ascent,0.9,0.01,-1.022930664443807,0.024354115121738112,0.05214542697649449,0.01499896205496043,-1.0266516180166658,0.03011749091092497,-1.0266516180166658
86,2,tanh,,0.01,gradient,classic,500,classic,binary_neutral_ascent,0.9,0.01,-0.8509796832949257,0.005236830213519355,0.04272400098852813,0.028834842960350215,-0.8544819972310613,0.03603974694851786,-0.8544819972310613
87,2,tanh,,0.01,gradient,classic,500,classic,binary_neutral_ascent,0.9,0.01,-0.17717424271787544,0.22938642458785918,0.05256548093166202,0.01489933393895626,-0.17721103496011312,0.027788531966507435,-0.17721103496011312
88,2,tanh,,0.01,gradient,classic,500,classic,binary_neutral_ascent,0.9,0.01,-0.009144902654279122,0.012242524374846058,0.0452065069694072,0.014902028953656554,-0.7072649159221231,0.04174470610450953,-0.7072649085966964
89,2,tanh,,0.01,gradient,classic,500,classic,binary_neutral_ascent,0.9,0.01,-0.2953292248704412,0.017389194699161878,0.05340771202463657,0.015254213009029627,-0.29690397189038653,0.029974890989251435,-0.29690397189038653
90,4,tanh,,0.01,gradient,classic,500,classic,binary_neutral_ascent,0.9,0.01,-0.799297711763862,0.17584193695333256,0.044927106937393546,0.015366142033599317,-2.5951844487598996,0.04042004095390439,-2.595184443600714
91,4,tanh,,0.01,gradient,classic,500,classic,binary_neutral_ascent,0.9,0.01,-3.137703647252373,0.4244167966570771,0.04446019500028342,0.026517577935010195,-3.241417845563385,0.03642702603247017,-3.241417845563385
92,4,tanh,,0.01,gradient,classic,500,classic,binary_neutral_ascent,0.9,0.01,3.0214807444847813,0.03231394411667146,0.04576054902281612,0.01540884596761316,-1.0800455997333154,0.037923510069958866,-1.0800455925119765
93,4,tanh,,0.01,gradient,classic,500,classic,binary_neutral_ascent,0.9,0.01,0.24884614821808576,0.06941351884970784,0.05179743398912251,0.01455062092281878,-1.4477394766533696,0.038200711947865784,-1.4477394717999275
